Yaw: -1.1875, Pitch: 0.3125, Roll: 1.375, ax: -0.316689, ay: -0.221288, accel_signed: -0.289882
Yaw: -1.3125, Pitch: 0.375, Roll: 1.4375, ax: -0.278002, ay: -0.196432, accel_signed: -0.253731
Yaw: -1.375, Pitch: 0.5, Roll: 1.4375, ax: -0.177357, ay: -0.190113, accel_signed: -0.154239
Yaw: -1.375, Pitch: 0.5625, Roll: 1.375, ax: -0.231831, ay: -0.25574, accel_signed: -0.200778
Yaw: -1.25, Pitch: 0.5, Roll: 1.3125, ax: -0.214534, ay: -0.190508, accel_signed: -0.191589
Yaw: -1.0625, Pitch: 0.5625, Roll: 1.3125, ax: -0.14466, ay: -0.263707, accel_signed: -0.114788
Yaw: -0.8125, Pitch: 0.625, Roll: 1.25, ax: -0.126143, ay: -0.202473, accel_signed: -0.104054
Yaw: -0.625, Pitch: 0.6875, Roll: 1.3125, ax: -0.0856058, ay: -0.183213, accel_signed: -0.0664028
Yaw: -0.375, Pitch: 0.625, Roll: 1.3125, ax: -0.150709, ay: -0.173395, accel_signed: -0.132988
Yaw: -0.1875, Pitch: 0.6875, Roll: 1.3125, ax: -0.204863, ay: -0.160706, accel_signed: -0.188713
Yaw: 0, Pitch: 0.6875, Roll: 1.3125, ax: -0.0645664, ay: -0.127345, accel_signed: -0.0526433
Yaw: 0.25, Pitch: 0.6875, Roll: 1.3125, ax: 0.0576284, ay: -0.168501, accel_signed: 0.0720949
Yaw: 0.5, Pitch: 0.5625, Roll: 1.25, ax: -0.133348, ay: -0.184815, accel_signed: -0.117586
Yaw: 0.75, Pitch: 0.5625, Roll: 1.375, ax: -0.159664, ay: -0.177698, accel_signed: -0.14523
Yaw: 1, Pitch: 0.5625, Roll: 1.375, ax: -0.167306, ay: -0.146526, accel_signed: -0.155987
Yaw: 1.25, Pitch: 0.625, Roll: 1.4375, ax: -0.0867062, ay: -0.18015, accel_signed: -0.0739283
Yaw: 1.375, Pitch: 0.625, Roll: 1.4375, ax: 0.0052518, ay: -0.209625, accel_signed: 0
Yaw: 1.625, Pitch: 0.6875, Roll: 1.375, ax: -0.000955278, ay: -0.192538, accel_signed: 0
Yaw: 1.8125, Pitch: 0.6875, Roll: 1.3125, ax: -0.0864769, ay: -0.227493, accel_signed: -0.072681
Yaw: 2, Pitch: 0.625, Roll: 1.3125, ax: -0.133423, ay: -0.140216, accel_signed: -0.125259
Yaw: 2.125, Pitch: 0.6875, Roll: 1.375, ax: -0.0750714, ay: -0.172538, accel_signed: -0.065554
Yaw: 2.3125, Pitch: 0.625, Roll: 1.375, ax: -0.017514, ay: -0.139003, accel_signed: 0
Yaw: 2.4375, Pitch: 0.5625, Roll: 1.3125, ax: -0.110973, ay: -0.119121, accel_signed: -0.104994
Yaw: 2.625, Pitch: 0.625, Roll: 1.3125, ax: -0.0975629, ay: -0.0973263, accel_signed: -0.0930031
Yaw: 2.75, Pitch: 0.625, Roll: 1.375, ax: -0.137747, ay: -0.0928244, accel_signed: -0.133567
Yaw: 2.9375, Pitch: 0.625, Roll: 1.3125, ax: -0.161743, ay: -0.085897, accel_signed: -0.158145
Yaw: 3.125, Pitch: 0.625, Roll: 1.375, ax: -0.141601, ay: -0.0767748, accel_signed: -0.138657
Yaw: 3.25, Pitch: 0.625, Roll: 1.4375, ax: -0.136692, ay: -0.0247629, accel_signed: -0.135745
Yaw: 3.4375, Pitch: 0.625, Roll: 1.4375, ax: -0.203594, ay: -0.0252611, accel_signed: -0.202693
Yaw: 3.5625, Pitch: 0.6875, Roll: 1.4375, ax: -0.122396, ay: -0.00288186, accel_signed: -0.122258
Yaw: 3.8125, Pitch: 0.6875, Roll: 1.4375, ax: -0.269612, ay: -0.0577802, accel_signed: -0.268078
Yaw: 4.125, Pitch: 0.625, Roll: 1.3125, ax: -0.216379, ay: -0.0285026, accel_signed: -0.215778
Yaw: 4.5625, Pitch: 0.625, Roll: 1.3125, ax: -0.294726, ay: -0.0343525, accel_signed: -0.294292
Yaw: 4.875, Pitch: 0.75, Roll: 1.375, ax: -0.250519, ay: -0.070086, accel_signed: -0.250055
Yaw: 5.375, Pitch: 0.8125, Roll: 1.375, ax: -0.402669, ay: -0.18613, accel_signed: -0.403074
Yaw: 6, Pitch: 0.75, Roll: 1.375, ax: -0.409074, ay: -0.190303, accel_signed: -0.41153
Yaw: 6.5625, Pitch: 0.8125, Roll: 1.375, ax: -0.424382, ay: -0.166493, accel_signed: -0.428084
Yaw: 7.0625, Pitch: 0.8125, Roll: 1.3125, ax: -0.399233, ay: -0.174437, accel_signed: -0.40455
Yaw: 7.75, Pitch: 0.8125, Roll: 1.4375, ax: -0.207153, ay: -0.186381, accel_signed: -0.215086
Yaw: 8.25, Pitch: 0.75, Roll: 1.4375, ax: -0.182692, ay: -0.196238, accel_signed: -0.192712
Yaw: 8.9375, Pitch: 0.75, Roll: 1.3125, ax: -0.207168, ay: -0.186132, accel_signed: -0.21871
Yaw: 9.6875, Pitch: 0.6875, Roll: 1.25, ax: -0.255951, ay: -0.127522, accel_signed: -0.265051
Yaw: 10.25, Pitch: 0.75, Roll: 1.375, ax: -0.30485, ay: -0.223834, accel_signed: -0.323199
Yaw: 10.9375, Pitch: 0.875, Roll: 1.375, ax: -0.301535, ay: -0.102661, accel_signed: -0.310225
Yaw: 11.6875, Pitch: 0.875, Roll: 1.375, ax: -0.230997, ay: -0.13475, accel_signed: -0.244648
Yaw: 12.5625, Pitch: 0.9375, Roll: 1.375, ax: -0.160509, ay: -0.161885, accel_signed: -0.179809
Yaw: 13.25, Pitch: 0.9375, Roll: 1.4375, ax: -0.171876, ay: -0.267294, accel_signed: -0.207403
Yaw: 14.125, Pitch: 1, Roll: 1.3125, ax: -0.180259, ay: -0.159109, accel_signed: -0.202648
Yaw: 14.9375, Pitch: 1, Roll: 1.375, ax: -0.242065, ay: -0.178219, accel_signed: -0.268603
Yaw: 15.6875, Pitch: 0.9375, Roll: 1.375, ax: -0.196209, ay: -0.144143, accel_signed: -0.219076
Yaw: 16.5, Pitch: 1, Roll: 1.375, ax: -0.189911, ay: -0.145652, accel_signed: -0.214677
Yaw: 17.1875, Pitch: 1, Roll: 1.375, ax: -0.0263043, ay: -0.116576, accel_signed: 0
