Yaw: -3.4375, Pitch: 1.875, Roll: 2, ax: -0.366478, ay: -0.0874083, accel_signed: -0.335012
Yaw: -3.5625, Pitch: 1.8125, Roll: 2.0625, ax: -0.441964, ay: -0.0581652, accel_signed: -0.414942
Yaw: -3.75, Pitch: 1.75, Roll: 2, ax: -0.444631, ay: -0.0421681, accel_signed: -0.420897
Yaw: -3.8125, Pitch: 1.8125, Roll: 2, ax: -0.319574, ay: -0.0153264, accel_signed: -0.306071
Yaw: -3.9375, Pitch: 1.875, Roll: 2.0625, ax: -0.391911, ay: -0.0757007, accel_signed: -0.361033
Yaw: -4, Pitch: 1.8125, Roll: 2.0625, ax: -0.430731, ay: -0.0932324, accel_signed: -0.394099
Yaw: -4.125, Pitch: 1.8125, Roll: 2, ax: -0.509616, ay: -0.140488, accel_signed: -0.458208
Yaw: -4.25, Pitch: 2.125, Roll: 2.125, ax: -0.565777, ay: -0.10905, accel_signed: -0.519911
Yaw: -4.375, Pitch: 2.125, Roll: 2.0625, ax: -0.608985, ay: -0.120555, accel_signed: -0.558223
Yaw: -4.5625, Pitch: 2.1875, Roll: 2.0625, ax: -0.641424, ay: -0.11099, accel_signed: -0.59114
Yaw: -4.75, Pitch: 2.25, Roll: 2.0625, ax: -0.699315, ay: -0.126116, accel_signed: -0.642183
Yaw: -4.75, Pitch: 2.3125, Roll: 2, ax: -0.674648, ay: -0.131242, accel_signed: -0.617033
Yaw: -4.6875, Pitch: 2.125, Roll: 2.0625, ax: -0.547689, ay: 0.0362969, accel_signed: -0.538305
Yaw: -4.5625, Pitch: 2.125, Roll: 2, ax: -0.429954, ay: 0.0138191, accel_signed: -0.418987
Yaw: -4.3125, Pitch: 2, Roll: 1.875, ax: -0.411884, ay: 0.0534084, accel_signed: -0.411967
Yaw: -4.1875, Pitch: 1.9375, Roll: 1.9375, ax: -0.451658, ay: 0.0483279, accel_signed: -0.449299
Yaw: -4.0625, Pitch: 1.9375, Roll: 1.9375, ax: -0.45911, ay: 0.0874882, accel_signed: -0.466424
Yaw: -3.875, Pitch: 1.9375, Roll: 2, ax: -0.44778, ay: 0.109606, accel_signed: -0.460982
Yaw: -3.625, Pitch: 1.6875, Roll: 2, ax: -0.46226, ay: 0.0811059, accel_signed: -0.46815
Yaw: -3.4375, Pitch: 1.625, Roll: 2, ax: -0.2756, ay: 0.0248769, accel_signed: -0.273569
Yaw: -3.25, Pitch: 1.625, Roll: 2, ax: -0.186601, ay: 0.0824393, accel_signed: -0.200769
Yaw: -3, Pitch: 1.625, Roll: 1.9375, ax: -0.195485, ay: 0.0745972, accel_signed: -0.207439
Yaw: -2.6875, Pitch: 1.6875, Roll: 1.875, ax: -0.172134, ay: 0.0684524, accel_signed: -0.183151
Yaw: -2.4375, Pitch: 1.375, Roll: 1.9375, ax: -0.169077, ay: 0.0762096, accel_signed: -0.181767
Yaw: -2.1875, Pitch: 1.4375, Roll: 1.875, ax: -0.0264772, ay: 0.136499, accel_signed: -0.0555324
Yaw: -1.9375, Pitch: 1.3125, Roll: 1.9375, ax: -0.0077873, ay: 0.132076, accel_signed: 0
Yaw: -1.6875, Pitch: 1.3125, Roll: 1.875, ax: -0.183028, ay: 0.146147, accel_signed: -0.209528
Yaw: -1.5, Pitch: 1.375, Roll: 1.875, ax: -0.099981, ay: 0.0903898, accel_signed: -0.116441
Yaw: -1.375, Pitch: 1.3125, Roll: 1.8125, ax: 0.00370339, ay: 0.13411, accel_signed: 0
Yaw: -1.3125, Pitch: 1.125, Roll: 1.875, ax: -0.118409, ay: 0.120402, accel_signed: -0.140344
Yaw: -1.25, Pitch: 1.25, Roll: 1.875, ax: -0.207978, ay: 0.0613861, accel_signed: -0.216081
Yaw: -1.25, Pitch: 1.3125, Roll: 1.875, ax: -0.197706, ay: 0.0555467, accel_signed: -0.204844
Yaw: -1.1875, Pitch: 1.3125, Roll: 1.9375, ax: 0.0922066, ay: 0.168218, accel_signed: 0.0566184
Yaw: -1.1875, Pitch: 1.25, Roll: 1.875, ax: -0.0506907, ay: 0.142704, accel_signed: -0.0782651
Yaw: -1.3125, Pitch: 1.375, Roll: 1.875, ax: -0.165726, ay: 0.112006, accel_signed: -0.18498
